#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.043   -102.253   -118.026    -20.432    180.826    101.857
      0.200   -102.590    -83.821   -107.354    -10.515    187.804    111.569
      0.300   -103.019    -64.702    -95.649      1.940    194.584    122.532
      0.400   -102.033    -44.940    -82.779     17.781    200.643    134.881
      0.500    -99.237    -24.659    -68.604     38.132    204.990    148.609
      0.600    -94.114     -4.120    -53.009     64.330    205.796    163.306
      0.700    -86.026     16.166    -35.964     97.436    199.913    177.593
      0.800    -74.320     35.302    -17.671    136.689    182.814    188.253
      0.900    -58.647     51.982      1.246    176.763    150.784    190.089
      1.000    -39.442     64.850     19.655    207.337    106.568    178.098
      1.100    -18.006     73.177     36.352    221.384     59.977    155.840
      1.200      4.090     77.138     50.616    220.536     19.245    129.435
      1.300     25.624     77.452     62.258    210.135    -12.964    103.402
      1.400     45.863     74.937     71.411    194.662    -37.343     79.670
      1.500     64.438     70.296     78.328    176.829    -55.475     58.663
      1.600     81.184     64.081     83.272    158.082    -68.830     40.213
      1.700     96.045     56.712     86.481    139.141    -78.538     23.980
      1.800    109.019     48.514     88.162    120.343    -85.415      9.624
      1.900    120.127     39.742     88.485    101.828    -90.043     -3.152
      2.000    129.400     30.598     87.598     83.631    -92.831    -14.590
      2.100    136.869     21.253     85.625     65.740    -94.070    -24.880
      2.200    142.562     11.851     82.672     48.116    -93.967    -34.176
      2.300    146.503      2.519     78.833     30.701    -92.668    -42.600
      2.400    148.709     -6.628     74.190     13.427    -90.275    -50.254
      2.500    149.191    -15.484     68.816     -3.793    -86.850    -57.224
      2.600    147.947    -23.947     62.776    -21.074    -82.414    -63.584
      2.700    144.966    -31.915     56.127    -38.560    -76.939    -69.391
      2.800    140.216    -39.278     48.924    -56.432    -70.329    -74.683
      2.900    133.649    -45.915     41.216    -74.908    -62.404    -79.461
      3.000    125.191    -51.679     33.059    -94.255    -52.869    -83.679
      3.100    114.739    -56.385     24.515   -114.786    -41.259    -87.209
      3.200    102.156    -59.790     15.665   -136.876    -26.847    -89.790
      3.300     87.265    -61.556      6.630   -160.945     -8.471    -90.912
      3.400     69.848    -61.189     -2.392   -187.385     15.822    -89.530
      3.500     49.678    -57.930    -11.003   -216.022     49.352    -82.683
      3.600     26.658    -50.563    -18.417   -244.377     97.993    -65.613
      3.700      1.449    -37.170    -22.998   -259.794    169.855    -26.000
      3.800    -22.398    -16.157    -21.747   -217.160    250.407     51.019
      3.900    -38.578      9.100    -13.509   -106.427    254.739    113.750
      4.000    -44.904     32.111     -1.470    -20.101    205.488    127.026
      4.100    -44.261     49.905     10.694     32.955    150.391    116.246
      4.200    -39.324     62.388     21.422     65.793     99.266     98.318
      4.300    -31.723     69.964     30.191     86.222     52.244     77.075
      4.400    -22.515     72.991     36.726     97.949      8.301     53.624
      4.500    -12.477     71.728     40.817    102.807    -33.561     28.188
      4.600     -2.251     66.320     42.245    101.710    -74.606      0.363
      4.700      7.547     56.749     40.694     94.246   -116.802    -31.377
      4.800     16.111     42.777     35.605     77.042   -162.646    -70.398
      4.900     21.918     23.933     25.900     39.103   -214.239   -123.707
      5.000     20.848      0.141      9.404    -60.506   -261.601   -206.207
      5.100      5.051    -19.486    -10.340   -255.436   -130.923   -188.683
